Million tonnes of carbon dioxide,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,545.6,503.8,530.1,541,526.3,544.1,553.5,546.2,537.8,549.1,565.6,556.2,-1.67%,0.40%,1.60%
Mexico,432.2,433.5,442.6,465.8,474,472.8,459.6,463.1,468.8,476.9,466.6,455,-2.49%,0.80%,1.30%
US,5699.1,5289.1,5485.7,5336.4,5090,5249.6,5254.6,5141.4,5042.4,4983.9,5116.8,4964.7,-2.97%,-1.10%,14.50%
Total North America,6677,6226.4,6458.4,6343.3,6090.3,6266.5,6267.7,6150.8,6049,6009.9,6149,5975.9,-2.80%,-0.80%,17.50%
Argentina,160.2,154.5,166,168.7,175.3,182.8,182.7,186,185.8,182.8,180.4,174.9,-3.06%,1.20%,0.50%
Brazil,373,350.5,398.3,423.8,442.9,482.9,503.8,487,450.4,457.2,442.3,441.3,-0.22%,1.70%,1.30%
Chile,77.4,74.4,76.1,87,89.4,91.1,88.4,88.9,94.1,92.4,94.3,92.4,-2.03%,2.00%,0.30%
Colombia,67.4,65.2,72.6,71.2,79.7,83.5,89.2,89.8,95.1,89.4,90,100.6,11.80%,2.90%,0.30%
Ecuador,27.5,27.9,32.1,32.8,34.3,36.5,38.5,37.6,35.4,34.3,37,35.6,-3.76%,3.00%,0.10%
Peru,34.4,34.5,39.4,45.6,45.3,46.5,47.2,50.6,54.8,51.6,53.4,53.7,0.66%,4.50%,0.20%
Trinidad & Tobago,24.8,23,25.2,24.8,24.7,26,25.8,24.3,22,21.5,20.4,20.1,-1.33%,-1.90%,0.10%
Venezuela,172.3,172.9,167.2,172,182.1,177,171.1,164.4,151.4,142.7,119.6,102.4,-14.38%,-3.60%,0.30%
Central America,55,53.9,54.9,58.9,60,60.9,62.9,68.9,71.9,71.7,74.9,78.6,4.99%,3.10%,0.20%
Other Caribbean,116.7,109.8,109.1,110.2,108.3,106.2,105.5,108.4,111.6,108.2,112.7,116.3,3.21%,-0.30%,0.30%
Other South America,27.8,30.1,32.1,31.6,32.8,33.3,33,34.8,35.9,37.6,38.3,39,1.74%,3.20%,0.10%
Total S. & Cent. America,1136.5,1096.5,1173,1226.7,1274.7,1326.6,1348,1340.8,1308.4,1289.4,1263.1,1254.9,-0.70%,1.10%,3.70%
Austria,69.9,63.7,68,64.9,62.5,63.1,58.9,60.9,61.9,64.7,62.8,64.7,2.96%,-1.10%,0.20%
Belgium,142.1,127.5,136.4,123,119,120,111.7,118.3,120.1,122.1,125.1,124.5,-0.47%,-1.30%,0.40%
Bulgaria,50.3,43.8,45.8,50.7,46.1,41,43.3,46.1,43.2,45.8,42.6,41,-3.67%,-1.70%,0.10%
Croatia,20.9,19.6,18.8,18.2,16.6,16.1,15.8,16.2,16.7,17.1,16.5,16.6,0.47%,-2.30%,?
Cyprus,9.5,9.2,8.8,8.7,8.1,7.3,7.3,7.5,8.1,8.3,8.2,8.2,-0.42%,-1.40%,?
Czech Republic,120.4,113.6,116.5,113.2,109.4,105.1,102.1,103.2,105,103.1,102.2,98.8,-3.31%,-1.60%,0.30%
Denmark,54.2,50.6,51.3,46.3,40.9,43.4,40,36.7,37.9,35.6,35.9,33.5,-6.88%,-4.00%,0.10%
Estonia,21,18.8,22.9,23.9,23.4,24.5,24.2,22.3,22.4,24.2,26.4,20.3,-23.36%,2.30%,0.10%
Finland,60,57.4,65.5,57.7,51.5,52.6,48.1,45.2,48.6,45.5,46.8,43,-8.16%,-2.50%,0.10%
France,369.8,354.8,360.4,334.1,335.6,334.9,301.3,306.7,312.1,318.1,307.2,299.2,-2.59%,-1.80%,0.90%
Germany,809.4,753.6,783.2,763.7,773,797.6,751.1,755.6,770.5,760.9,731.3,683.8,-6.50%,-1.00%,2.00%
Greece,109,104.2,96.1,95.5,89.8,81.4,77.8,75.2,72,76.6,74.4,71.7,-3.57%,-3.80%,0.20%
Hungary,54.2,48,48.7,49.3,45.1,42.6,41.9,44.3,45.2,47.3,47.5,47.4,-0.15%,-1.30%,0.10%
Iceland,2.8,2.6,2.5,2.5,2.5,2.7,2.7,2.9,3.2,3.6,3.7,3.3,-11.48%,2.80%,?
Ireland,47.9,42.9,42.5,38.6,38.8,37.5,37.3,39,40.5,39.4,39.2,37.7,-3.75%,-2.00%,0.10%
Italy,442,391.6,396.4,386.4,369.9,340.5,317.7,329.8,329.9,333.4,332.1,325.4,-2.02%,-2.80%,1.00%
Latvia,8.6,7.9,9.2,8.3,8,8,7.7,7.8,8.2,8,8,8.5,6.03%,-0.80%,?
Lithuania,13.3,12,13.2,12.4,12.4,11.7,11,11.3,11.7,11.9,12.3,12.3,0.21%,-0.80%,?
Luxembourg,11.9,11.4,12,11.7,11.4,10.9,10.5,10.1,10,10.3,10.8,10.9,1.37%,-1.00%,?
Netherlands,227.2,217.7,226.5,219.4,212.2,208.2,197.6,206.7,209.8,202.9,198.2,192,-3.11%,-1.40%,0.60%
North Macedonia,9.4,8.7,8.5,9.3,8.9,7.9,7.5,7.2,7.1,7.5,7.1,8.2,16.14%,-2.80%,?
