Exajoules,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,1.23,0.98,1.04,0.93,0.88,0.87,0.82,0.83,0.78,0.78,0.65,0.56,-14.10%,-6.20%,0.40%
Mexico,0.42,0.43,0.53,0.62,0.54,0.53,0.53,0.53,0.52,0.64,0.57,0.51,-10.50%,3.00%,0.30%
US,22.44,19.74,20.88,19.7,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,-14.60%,-5.10%,7.20%
Total North America,24.09,21.15,22.45,21.25,18.84,19.48,19.39,16.95,15.56,15.28,14.5,12.41,-14.40%,-5.00%,7.90%
Argentina,0.06,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.02,-53.70%,-2.40%,
Brazil,0.58,0.47,0.61,0.65,0.64,0.69,0.73,0.74,0.67,0.7,0.7,0.66,-5.80%,1.90%,0.40%
Chile,0.18,0.17,0.19,0.24,0.28,0.32,0.32,0.31,0.31,0.32,0.31,0.28,-8.70%,5.50%,0.20%
Colombia,0.19,0.17,0.2,0.16,0.2,0.21,0.22,0.21,0.23,0.17,0.16,0.26,63.00%,-1.60%,0.20%
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,,,
Peru,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.02,-32.60%,-1.80%,
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,,,
Venezuela,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,-34.40%,-2.00%,
Central America,0.02,0.02,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.06,0.09,0.1,11.50%,15.40%,0.10%
Other Caribbean,0.08,0.08,0.08,0.09,0.08,0.09,0.1,0.09,0.09,0.08,0.09,0.14,55.00%,0.70%,0.10%
Other South America,^,^,^,^,^,^,^,^,^,^,^,^,-0.90%,5.90%,
Total S. & Cent. America,1.16,0.98,1.19,1.26,1.33,1.45,1.52,1.5,1.46,1.43,1.43,1.48,3.70%,2.10%,0.90%
Austria,0.16,0.12,0.14,0.15,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,5.20%,-2.80%,0.10%
Belgium,0.19,0.12,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,-2.10%,-3.80%,0.10%
Bulgaria,0.32,0.27,0.29,0.34,0.29,0.25,0.27,0.27,0.24,0.26,0.23,0.21,-8.70%,-3.20%,0.10%
Croatia,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,18.10%,-6.40%,
Cyprus,^,^,^,^,^,^,^,^,^,^,^,^,22.80%,-4.90%,
Czech Republic,0.82,0.76,0.79,0.77,0.74,0.71,0.69,0.68,0.69,0.65,0.65,0.6,-6.90%,-2.40%,0.40%
Denmark,0.17,0.17,0.16,0.14,0.1,0.14,0.11,0.07,0.09,0.07,0.07,0.04,-41.80%,-9.00%,
Estonia,0.14,0.13,0.16,0.17,0.16,0.18,0.18,0.16,0.16,0.18,0.2,0.14,-29.30%,3.50%,0.10%
Finland,0.22,0.22,0.28,0.23,0.19,0.21,0.19,0.16,0.18,0.17,0.18,0.15,-16.60%,-2.40%,0.10%
France,0.51,0.45,0.48,0.41,0.46,0.48,0.36,0.35,0.34,0.39,0.35,0.27,-23.20%,-3.60%,0.20%
Germany,3.35,3,3.23,3.28,3.37,3.47,3.33,3.29,3.2,3.01,2.9,2.3,-20.70%,-1.40%,1.50%
Greece,0.35,0.35,0.33,0.33,0.34,0.29,0.28,0.24,0.18,0.2,0.19,0.14,-27.60%,-5.80%,0.10%
Hungary,0.13,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.08,-11.30%,-3.50%,
Iceland,^,^,^,^,^,^,^,^,^,^,^,^,,1.80%,
Ireland,0.1,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.06,0.04,-32.00%,-4.70%,
Italy,0.66,0.52,0.57,0.64,0.66,0.57,0.55,0.52,0.46,0.4,0.37,0.3,-19.30%,-5.70%,0.20%
Latvia,^,^,^,^,^,^,^,^,^,^,^,^,52.10%,-7.60%,
Lithuania,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.60%,,
Luxembourg,^,^,^,^,^,^,^,^,^,^,^,^,32.60%,-5.60%,
Netherlands,0.33,0.31,0.32,0.31,0.34,0.34,0.38,0.46,0.43,0.38,0.34,0.27,-22.50%,0.30%,0.20%
North Macedonia,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,22.00%,-5.30%,
Norway,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.60%,1.30%,
Poland,2.31,2.17,2.31,2.3,2.14,2.23,2.07,2.04,2.07,2.08,2.08,1.91,-8.40%,-1.00%,1.20%
Portugal,0.11,0.12,0.07,0.09,0.12,0.11,0.11,0.14,0.12,0.14,0.11,0.06,-49.40%,0.80%,
Romania,0.4,0.32,0.29,0.34,0.32,0.25,0.24,0.25,0.22,0.23,0.21,0.19,-10.70%,-5.90%,0.10%
Slovakia,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.11,-17.80%,-1.70%,0.10%
Slovenia,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.04,-6.80%,-3.10%,
Spain,0.57,0.39,0.29,0.54,0.65,0.48,0.49,0.57,0.44,0.56,0.46,0.21,-54.60%,-2.00%,0.10%
Sweden,0.12,0.08,0.12,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,2.20%,-3.50%,0.10%
Switzerland,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,,-4.20%,
Turkey,1.24,1.29,1.32,1.42,1.53,1.32,1.51,1.45,1.61,1.65,1.71,1.7,-0.80%,3.30%,1.10%
Ukraine,1.75,1.5,1.6,1.74,1.79,1.73,1.49,1.14,1.36,1.08,1.15,1.1,-4.50%,-4.10%,0.70%
United Kingdom,1.49,1.25,1.29,1.32,1.63,1.55,1.25,0.97,0.46,0.38,0.32,0.26,-17.40%,-14.30%,0.20%
Other Europe,0.57,0.58,0.58,0.66,0.59,0.61,0.5,0.58,0.6,0.59,0.6,0.77,26.60%,0.60%,0.50%
Total Europe,16.38,14.67,15.34,15.99,16.34,15.81,14.84,14.2,13.68,13.23,12.92,11.35,-12.10%,-2.30%,7.20%
Azerbaijan,^,^,^,^,^,^,^,^,^,^,^,^,,-10.40%,
Belarus,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,6.70%,3.20%,
Kazakhstan,1.41,1.3,1.4,1.52,1.58,1.57,1.55,1.43,1.42,1.52,1.7,1.67,-1.90%,1.90%,1.10%
Russian Federation,4.22,3.86,3.79,3.94,4.12,3.79,3.67,3.86,3.74,3.51,3.63,3.63,,-1.50%,2.30%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,,,
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,0.04,0.04,0.04,0.05,0.05,0.07,0.06,0.06,0.05,0.06,0.09,0.07,-14.50%,7.20%,
Other CIS,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.07,0.08,0.09,0.12,33.70%,7.50%,0.10%
Total CIS,5.74,5.26,5.3,5.58,5.84,5.52,5.38,5.46,5.32,5.22,5.54,5.53,-0.20%,-0.40%,3.50%
Iran,0.05,0.06,0.05,0.06,0.05,0.06,0.07,0.07,0.06,0.07,0.06,0.05,-6.70%,1.20%,
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,,,
