Exajoules,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,1.49,1.39,1.48,1.48,1.49,1.51,1.5,1.35,1.37,1.32,1.18,1.11,-5.10%,-2.30%,0.70%
Mexico,0.29,0.25,0.31,0.39,0.31,0.3,0.3,0.29,0.25,0.31,0.28,0.26,-5.40%,-0.40%,0.20%
US,23.91,21.67,22.09,22.27,20.72,20.05,20.33,17.99,14.7,15.66,15.4,14.3,-7.10%,-4.30%,8.50%
Total North America,25.69,23.32,23.88,24.15,22.52,21.86,22.14,19.63,16.33,17.29,16.85,15.68,-7.00%,-4.10%,9.40%
Brazil,0.14,0.13,0.11,0.11,0.12,0.15,0.15,0.12,0.11,0.09,0.1,0.12,24.80%,-3.20%,0.10%
Colombia,2.11,2.09,2.14,2.47,2.56,2.46,2.55,2.46,2.6,2.6,2.42,2.37,-2.20%,1.40%,1.40%
Venezuela,0.15,0.1,0.08,0.08,0.06,0.04,0.02,0.02,0.01,0.01,0.01,0.01,49.10%,-27.50%,
Other S. & Cent. America,0.02,0.02,0.01,0.02,0.02,0.07,0.12,0.1,0.08,0.05,0.05,0.03,-27.20%,12.00%,
Total S. & Cent. America,2.42,2.34,2.35,2.68,2.76,2.72,2.85,2.7,2.81,2.76,2.58,2.54,-1.50%,0.60%,1.50%
Bulgaria,0.2,0.19,0.21,0.26,0.23,0.2,0.21,0.25,0.21,0.24,0.22,0.2,-7.60%,0.80%,0.10%
Czech Republic,0.95,0.87,0.87,0.88,0.85,0.74,0.71,0.71,0.67,0.64,0.62,0.57,-8.20%,-4.30%,0.30%
Germany,2.1,1.94,1.92,1.96,2,1.89,1.85,1.79,1.66,1.65,1.58,1.27,-20.00%,-2.80%,0.80%
Greece,0.34,0.34,0.31,0.31,0.34,0.28,0.27,0.24,0.17,0.19,0.18,0.13,-25.10%,-6.20%,0.10%
Hungary,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.06,18.10%,-2.80%,
Poland,2.55,2.36,2.32,2.33,2.42,2.39,2.26,2.22,2.18,2.08,1.98,1.87,-5.50%,-2.50%,1.10%
Romania,0.29,0.27,0.25,0.28,0.27,0.19,0.19,0.2,0.18,0.19,0.17,0.16,-8.40%,-5.20%,0.10%
Serbia,0.31,0.31,0.3,0.33,0.31,0.32,0.24,0.3,0.3,0.3,0.28,0.29,3.40%,-1.20%,0.20%
Spain,0.18,0.16,0.14,0.11,0.1,0.07,0.07,0.05,0.03,0.05,0.04,^,-97.40%,-14.40%,
Turkey,0.7,0.73,0.73,0.75,0.71,0.65,0.68,0.54,0.65,0.63,0.69,0.7,0.40%,-0.10%,0.40%
Ukraine,1.45,1.35,1.35,1.52,1.64,1.6,1.09,0.72,0.76,0.57,0.59,0.57,-2.30%,-8.70%,0.30%
United Kingdom,0.47,0.46,0.48,0.48,0.44,0.33,0.31,0.23,0.11,0.08,0.07,0.06,-16.10%,-17.50%,
Other Europe,0.64,0.65,0.66,0.66,0.59,0.69,0.66,0.6,0.56,0.57,0.82,0.65,-21.10%,2.50%,0.40%
Total Europe,10.27,9.71,9.6,9.94,9.96,9.43,8.6,7.9,7.55,7.25,7.28,6.52,-10.50%,-3.40%,3.90%
Kazakhstan,2.01,1.82,1.99,2.08,2.16,2.15,2.05,1.93,1.85,2.02,2.13,2.08,-2.40%,0.60%,1.20%
Russian Federation,6.24,5.93,6.32,6.6,7.05,7.25,7.39,7.8,8.12,8.62,9.23,9.2,-0.30%,4.00%,5.50%
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-2.90%,1.50%,
Other CIS,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.1,0.1,4.70%,10.70%,0.10%
Total CIS,8.32,7.83,8.39,8.77,9.31,9.51,9.55,9.84,10.09,10.77,11.51,11.43,-0.60%,3.30%,6.80%
Total Middle East,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,,-3.40%,
South Africa,5.9,5.85,6.03,6,6.14,6.08,6.2,5.96,6.01,5.97,5.99,6.02,0.40%,0.20%,3.60%
Zimbabwe,0.04,0.05,0.07,0.07,0.04,0.08,0.16,0.12,0.07,0.08,0.1,0.06,-35.00%,9.00%,
Other Africa,0.03,0.03,0.04,0.05,0.18,0.21,0.24,0.25,0.32,0.59,0.74,0.57,-22.40%,36.90%,0.30%
