Coal: Production*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.97,1.03,1.07,1.40,1.49,1.38,1.39,1.61,1.72,1.67,1.75,1.55,1.65,1.74,1.80,1.83,1.90,1.80,1.73,1.64,1.67,1.43,1.33,1.42,1.48,1.46,1.49,1.49,1.39,1.48,1.48,1.49,1.51,1.50,1.35,1.37,1.32,1.18,1.11,-5.1%,-2.3%,0.7%,,
Mexico,0.07,0.09,0.11,0.12,0.12,0.13,0.15,0.13,0.14,0.14,0.13,0.12,0.13,0.18,0.17,0.19,0.19,0.20,0.20,0.23,0.17,0.14,0.18,0.25,0.25,0.28,0.31,0.29,0.25,0.31,0.39,0.31,0.30,0.30,0.29,0.25,0.31,0.28,0.26,-5.4%,-0.4%,0.2%,,
US,18.42,18.68,17.29,19.76,19.37,19.55,20.19,20.79,21.41,22.54,21.69,21.74,20.38,22.25,22.18,22.84,23.36,24.10,23.35,22.79,23.60,22.78,22.14,22.90,23.24,23.84,23.55,23.91,21.67,22.09,22.27,20.72,20.05,20.33,17.99,14.70,15.66,15.40,14.30,-7.1%,-4.3%,8.5%,,
Total North America,19.46,19.80,18.46,21.28,20.98,21.07,21.73,22.53,23.27,24.35,23.56,23.42,22.16,24.16,24.15,24.87,25.45,26.10,25.28,24.65,25.44,24.36,23.66,24.57,24.97,25.58,25.35,25.69,23.32,23.88,24.15,22.52,21.86,22.14,19.63,16.33,17.29,16.85,15.68,-7.0%,-4.1%,9.4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.12,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.14,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.11,0.10,0.11,0.10,0.11,0.12,0.12,0.12,0.14,0.13,0.11,0.11,0.12,0.15,0.15,0.12,0.11,0.09,0.10,0.12,24.8%,-3.2%,0.1%,,
Colombia,0.12,0.13,0.15,0.19,0.26,0.31,0.42,0.44,0.55,0.59,0.58,0.63,0.63,0.65,0.74,0.85,0.95,0.97,0.95,1.10,1.27,1.14,1.45,1.56,1.72,1.90,2.01,2.11,2.09,2.14,2.47,2.56,2.46,2.55,2.46,2.60,2.60,2.42,2.37,-2.2%,1.4%,1.4%,,
Venezuela,^,^,^,^,^,^,0.01,0.03,0.06,0.07,0.07,0.08,0.12,0.14,0.13,0.13,0.16,0.20,0.20,0.24,0.24,0.25,0.21,0.25,0.22,0.22,0.21,0.15,0.10,0.08,0.08,0.06,0.04,0.02,0.02,0.01,0.01,0.01,0.01,49.1%,-27.5%,?,,
