Exajoules,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,3.59,3.48,3.3,3.51,3.53,3.61,3.5,3.48,3.49,3.55,3.45,3.41,-1.40%,-0.40%,9.00%
Mexico,0.37,0.25,0.35,0.34,0.3,0.26,0.36,0.28,0.28,0.29,0.29,0.21,-27.00%,-2.50%,0.60%
US,2.39,2.56,2.41,2.95,2.54,2.46,2.34,2.24,2.39,2.67,2.59,2.42,-6.70%,0.80%,6.40%
Total North America,6.35,6.3,6.06,6.79,6.36,6.33,6.2,6.01,6.16,6.51,6.33,6.03,-4.70%,?,16.00%
Argentina,0.35,0.39,0.38,0.37,0.34,0.38,0.37,0.38,0.35,0.37,0.37,0.33,-11.30%,0.50%,0.90%
Brazil,3.51,3.69,3.79,4,3.85,3.6,3.42,3.28,3.45,3.34,3.48,3.56,2.30%,-0.10%,9.50%
Chile,0.23,0.24,0.2,0.19,0.19,0.18,0.21,0.22,0.18,0.19,0.21,0.19,-11.10%,-1.00%,0.50%
Colombia,0.44,0.39,0.38,0.45,0.44,0.41,0.41,0.41,0.42,0.52,0.51,0.46,-9.30%,1.50%,1.20%
Ecuador,0.11,0.09,0.08,0.1,0.11,0.1,0.1,0.12,0.14,0.18,0.19,0.22,18.80%,5.60%,0.60%
Peru,0.18,0.19,0.19,0.2,0.2,0.21,0.2,0.22,0.22,0.26,0.28,0.28,2.40%,4.30%,0.70%
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Venezuela,0.82,0.81,0.72,0.78,0.76,0.77,0.72,0.67,0.56,0.53,0.51,0.56,10.60%,-4.70%,1.50%
Central America,0.19,0.18,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.25,0.24,0.2,-16.40%,2.40%,0.50%
Other Caribbean,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,-35.30%,0.60%,?
Other South America,0.61,0.6,0.62,0.64,0.65,0.67,0.63,0.62,0.67,0.64,0.62,0.55,-11.20%,0.30%,1.50%
Total S. & Cent. America,6.46,6.59,6.58,6.94,6.77,6.54,6.29,6.12,6.21,6.3,6.43,6.37,-0.90%,-0.10%,16.90%
Austria,0.36,0.39,0.36,0.32,0.41,0.39,0.38,0.34,0.36,0.34,0.34,0.36,7.80%,-0.80%,1.00%
Belgium,^,^,^,^,^,^,^,^,^,^,^,^,-5.80%,-3.20%,?
Bulgaria,0.03,0.03,0.05,0.03,0.03,0.04,0.04,0.05,0.04,0.03,0.05,0.03,-33.80%,5.50%,0.10%
Croatia,0.05,0.07,0.09,0.05,0.04,0.08,0.08,0.06,0.06,0.05,0.07,0.05,-24.40%,2.30%,0.10%
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Czech Republic,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,22.80%,-2.70%,?
Denmark,^,^,^,^,^,^,^,^,^,^,^,^,13.50%,-5.90%,?
Estonia,^,^,^,^,^,^,^,^,^,^,^,^,6.10%,-6.60%,?
Finland,0.16,0.12,0.12,0.12,0.16,0.12,0.12,0.15,0.14,0.13,0.12,0.11,-6.80%,-3.20%,0.30%
France,0.6,0.54,0.59,0.42,0.54,0.65,0.58,0.5,0.54,0.44,0.57,0.52,-8.80%,-0.60%,1.40%
Germany,0.19,0.18,0.2,0.16,0.2,0.21,0.18,0.17,0.19,0.18,0.16,0.18,11.90%,-1.90%,0.50%
Greece,0.03,0.05,0.07,0.04,0.04,0.06,0.04,0.06,0.05,0.04,0.05,0.04,-30.50%,5.00%,0.10%
Hungary,^,^,^,^,^,^,^,^,^,^,^,^,-1.30%,-0.20%,?
Iceland,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.13,0.12,0.12,-2.90%,0.50%,0.30%
Ireland,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27.30%,-3.90%,?
Italy,0.4,0.46,0.48,0.43,0.39,0.49,0.54,0.4,0.37,0.31,0.42,0.4,-4.50%,0.60%,1.10%
Latvia,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.02,0.02,-13.60%,-3.00%,?
Lithuania,^,^,0.01,^,^,^,^,^,^,0.01,^,^,-23.40%,0.50%,?
Luxembourg,^,^,^,^,^,^,^,^,^,^,^,^,14.00%,-4.10%,?
Netherlands,^,^,^,^,^,^,^,^,^,^,^,^,2.20%,-3.80%,?
North Macedonia,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,-35.30%,7.20%,?
Norway,1.32,1.18,1.1,1.12,1.31,1.18,1.24,1.25,1.29,1.28,1.24,1.12,-10.20%,-0.60%,3.00%
Poland,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-1.20%,-1.50%,?
Portugal,0.06,0.08,0.15,0.11,0.05,0.13,0.14,0.08,0.14,0.05,0.11,0.08,-29.70%,5.50%,0.20%
Romania,0.16,0.15,0.19,0.14,0.11,0.14,0.17,0.15,0.16,0.13,0.16,0.14,-13.00%,-0.30%,0.40%
Slovakia,0.04,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,17.90%,-1.90%,0.10%
Slovenia,0.04,0.04,0.04,0.03,0.04,0.04,0.06,0.03,0.04,0.03,0.04,0.04,-6.90%,1.00%,0.10%
Spain,0.22,0.25,0.39,0.29,0.19,0.34,0.36,0.26,0.33,0.17,0.31,0.22,-27.70%,3.40%,0.60%
Sweden,0.66,0.62,0.62,0.63,0.73,0.57,0.58,0.69,0.56,0.58,0.56,0.59,5.50%,-1.70%,1.60%
Switzerland,0.34,0.34,0.34,0.3,0.36,0.35,0.35,0.35,0.31,0.31,0.31,0.31,-0.10%,-1.00%,0.80%
Turkey,0.32,0.34,0.49,0.49,0.54,0.55,0.37,0.61,0.61,0.52,0.54,0.79,48.20%,5.40%,2.10%
Ukraine,0.11,0.11,0.12,0.1,0.1,0.13,0.08,0.05,0.07,0.08,0.09,0.06,-34.70%,-1.60%,0.20%
United Kingdom,0.05,0.05,0.03,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,8.60%,?,0.10%
Other Europe,0.26,0.3,0.38,0.25,0.26,0.33,0.3,0.29,0.32,0.26,0.35,0.3,-12.50%,2.90%,0.80%
Total Europe,5.64,5.57,6.1,5.31,5.8,6.1,5.9,5.79,5.9,5.26,5.77,5.64,-2.30%,0.20%,15.00%
Azerbaijan,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,-11.80%,-2.90%,?
Belarus,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,22.80%,?
Kazakhstan,0.07,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.11,0.1,0.09,0.09,-4.10%,2.70%,0.20%
Russian Federation,1.57,1.65,1.56,1.52,1.52,1.67,1.59,1.53,1.67,1.67,1.71,1.73,1.60%,0.90%,4.60%
Turkmenistan,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,-0.60%,?
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,0.04,0.06,0.08,0.05,0.06,0.06,0.06,0.05,0.07,0.08,0.05,0.06,9.80%,2.40%,0.20%
Other CIS,0.27,0.27,0.29,0.31,0.31,0.3,0.29,0.28,0.28,0.31,0.32,0.32,0.50%,1.50%,0.80%
Total CIS,1.97,2.06,2.04,1.98,1.98,2.11,2.03,1.96,2.14,2.17,2.19,2.21,1.30%,1.00%,5.90%
Iran,0.07,0.06,0.1,0.1,0.12,0.13,0.13,0.12,0.14,0.16,0.1,0.26,153.30%,3.70%,0.70%
Iraq,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.02,35.80%,-5.20%,0.10%
Israel,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,3.10%,?
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Oman,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Other Middle East,0.03,0.02,0.03,0.04,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.02,43.40%,-9.60%,?
Total Middle East,0.13,0.11,0.16,0.17,0.2,0.22,0.18,0.15,0.18,0.19,0.13,0.3,128.70%,?,0.80%
Algeria,^,^,^,^,^,^,^,^,^,^,^,^,29.00%,-9.00%,?
Egypt,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.20%,-1.80%,0.30%
Morocco,0.01,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,-25.70%,5.70%,?
South Africa,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,-0.40%,-5.50%,?
Eastern Africa,0.44,0.45,0.51,0.52,0.54,0.57,0.6,0.59,0.56,0.58,0.6,0.61,1.90%,3.30%,1.60%
Middle Africa,0.15,0.15,0.16,0.16,0.16,0.18,0.19,0.19,0.19,0.22,0.23,0.24,4.30%,4.30%,0.60%
Western Africa,0.15,0.14,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.16,0.17,0.17,-0.30%,1.50%,0.50%
Other Northern Africa,^,^,^,^,^,^,^,^,^,^,^,^,297.90%,-8.60%,?
Other Southern Africa,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-7.50%,-1.60%,?
Total Africa,0.92,0.94,1.01,1.03,1.03,1.08,1.13,1.09,1.05,1.11,1.17,1.18,1.40%,2.40%,3.10%
Australia,0.11,0.12,0.13,0.18,0.16,0.18,0.13,0.13,0.16,0.12,0.16,0.13,-17.90%,3.30%,0.30%
Bangladesh,0.01,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.20%,-1.50%,?
China,6.05,5.81,6.68,6.42,8,8.38,9.71,10.15,10.44,10.49,10.73,11.32,5.50%,5.90%,30.10%
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
India,1.09,1,1.02,1.23,1.07,1.22,1.27,1.21,1.16,1.22,1.25,1.44,15.50%,1.30%,3.80%
Indonesia,0.11,0.11,0.16,0.12,0.12,0.16,0.14,0.13,0.17,0.17,0.15,0.15,0.60%,3.20%,0.40%
Japan,0.71,0.67,0.83,0.77,0.71,0.73,0.75,0.78,0.67,0.71,0.72,0.66,-9.10%,0.10%,1.80%
Malaysia,0.07,0.07,0.06,0.08,0.09,0.11,0.12,0.13,0.18,0.24,0.24,0.24,1.80%,12.30%,0.60%
New Zealand,0.21,0.23,0.23,0.23,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.23,-3.00%,1.00%,0.60%
Pakistan,0.26,0.27,0.28,0.29,0.1,0.46,0.3,0.3,0.31,0.28,0.26,0.32,21.80%,?,0.80%
Philippines,0.09,0.09,0.07,0.09,0.1,0.09,0.08,0.08,0.07,0.09,0.08,0.09,2.50%,-1.10%,0.20%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
South Korea,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.02,-17.70%,0.30%,0.10%
Sri Lanka,0.04,0.04,0.05,0.04,0.03,0.06,0.04,0.05,0.04,0.04,0.06,0.04,-25.10%,3.90%,0.10%
Taiwan,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.06,0.05,0.04,0.05,23.60%,-0.20%,0.10%
Thailand,0.07,0.07,0.05,0.07,0.08,0.05,0.05,0.03,0.03,0.04,0.07,0.06,-17.20%,0.30%,0.10%
Vietnam,0.25,0.28,0.27,0.38,0.49,0.53,0.57,0.52,0.6,0.8,0.76,0.58,-22.70%,11.80%,1.60%
Other Asia Pacific,0.33,0.32,0.39,0.44,0.44,0.49,0.49,0.45,0.53,0.55,0.53,0.56,7.20%,4.90%,1.50%
