Exajoules,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,3.22,3.12,3.18,3.51,3.5,3.75,3.95,3.95,3.82,3.94,4.26,4.33,1.70%,2.80%,3.10%
Mexico,2.16,2.35,2.38,2.55,2.65,2.8,2.84,2.91,2.99,3.1,3.15,3.26,3.50%,3.90%,2.30%
US,22.64,22.23,23.33,23.7,24.77,25.45,26,26.77,26.97,26.64,29.52,30.48,3.30%,2.70%,21.50%
Total North America,28.02,27.7,28.89,29.76,30.92,32.01,32.79,33.63,33.78,33.67,36.93,38.07,3.10%,2.80%,26.90%
Argentina,1.55,1.51,1.52,1.58,1.64,1.66,1.66,1.68,1.74,1.74,1.75,1.71,-2.50%,1.20%,1.20%
Brazil,0.92,0.74,0.99,0.99,1.17,1.38,1.46,1.55,1.34,1.35,1.29,1.29,-0.20%,3.40%,0.90%
Chile,0.1,0.1,0.21,0.21,0.19,0.19,0.16,0.17,0.21,0.2,0.23,0.23,1.10%,8.80%,0.20%
Colombia,0.26,0.3,0.31,0.31,0.34,0.38,0.41,0.4,0.44,0.45,0.48,0.48,1.80%,6.10%,0.30%
Ecuador,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,-10.60%,3.60%,?
Peru,0.12,0.12,0.2,0.23,0.25,0.24,0.27,0.28,0.31,0.27,0.29,0.3,3.70%,9.40%,0.20%
Trinidad & Tobago,0.69,0.69,0.75,0.74,0.73,0.73,0.74,0.71,0.61,0.66,0.63,0.63,1.00%,-1.00%,0.40%
Venezuela,1.26,1.23,1.13,1.2,1.25,1.16,1.22,1.33,1.34,1.39,1.14,0.95,-16.30%,-1.00%,0.70%
Central America,-,-,-,-,-,-,-,-,-,-,0.01,0.02,163.70%,n/a,?
Other Caribbean,0.09,0.09,0.09,0.1,0.12,0.13,0.13,0.13,0.14,0.13,0.15,0.18,21.90%,5.10%,0.10%
Other South America,0.08,0.09,0.09,0.11,0.11,0.12,0.13,0.12,0.13,0.13,0.13,0.13,-0.40%,5.30%,0.10%
Total S. & Cent. America,5.09,4.89,5.3,5.48,5.82,6.02,6.21,6.4,6.27,6.35,6.12,5.95,-2.70%,1.90%,4.20%
Austria,0.33,0.32,0.35,0.33,0.31,0.3,0.27,0.29,0.3,0.33,0.31,0.32,2.50%,-0.40%,0.20%
Belgium,0.63,0.63,0.7,0.59,0.6,0.6,0.52,0.57,0.58,0.59,0.61,0.63,3.00%,-0.30%,0.40%
Bulgaria,0.12,0.09,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.11,0.1,-6.40%,-1.10%,0.10%
Croatia,0.11,0.1,0.11,0.11,0.1,0.1,0.08,0.09,0.09,0.1,0.1,0.11,4.50%,-0.70%,0.10%
