Terawatt-hours,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,95.4,89.5,90,92.9,94.2,102.7,106.5,101.1,100.7,100.6,100,100.5,0.50%,0.50%,3.60%
Mexico,9.8,10.5,5.9,10.1,8.8,11.8,9.7,11.6,10.6,10.9,13.6,11.3,-17.60%,3.40%,0.40%
US,848.6,840.9,849.4,831.8,809.8,830.5,839.1,839.1,848.1,847.3,849.6,852,0.30%,?,30.50%
Total North America,953.8,940.9,945.3,934.8,912.8,945.1,955.3,951.8,959.4,958.8,963.2,963.7,0.10%,0.10%,34.50%
Argentina,7.4,8.2,7.2,6.4,6.4,6.2,5.5,7,8.3,6.1,6.9,8.4,22.80%,-0.70%,0.30%
Brazil,14,13,14.5,15.7,16,15.4,15.4,14.7,15.9,15.7,15.7,16.2,3.10%,1.20%,0.60%
Chile,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Peru,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Central America,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Other Caribbean,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Other South America,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Total S. & Cent. America,21.4,21.1,21.7,22.1,22.4,21.7,20.9,21.8,24.1,21.8,22.5,24.6,9.10%,0.50%,0.90%
Austria,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Belgium,45.6,47.2,47.9,48.2,40.3,42.6,33.7,26.1,43.5,42.2,28.6,43.8,53.00%,-4.60%,1.60%
Bulgaria,15.8,15.3,15.2,16.3,15.8,14.2,15.9,15.4,15.8,15.5,16.1,16.6,2.80%,0.20%,0.60%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Czech Republic,26.6,27.2,28,28.3,30.3,30.7,30.3,26.8,24.1,28.3,29.9,30.2,1.10%,1.20%,1.10%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Finland,23.2,23.8,23,23.4,23.2,23.9,23.8,23.5,23.5,22.7,21.9,22.9,4.80%,-0.60%,0.80%
France,439.4,409.7,428.5,442.4,425.4,423.7,436.5,437.4,403.2,398.4,413.8,399.4,-3.50%,-0.60%,14.30%
Germany,148.8,134.9,140.6,108,99.5,97.3,97.1,91.8,84.6,76.3,76,75.1,-1.20%,-6.50%,2.70%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Hungary,14.8,15.4,15.8,15.7,15.8,15.4,15.6,15.8,16.1,16.1,15.7,16.3,3.50%,0.60%,0.60%
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Italy,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Lithuania,9.9,10.9,-,-,-,-,-,-,-,-,-,-,?,?,?
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Netherlands,4.2,4.2,4,4.1,3.9,2.9,4.1,4.1,4,3.4,3.5,3.9,11.20%,-1.70%,0.10%
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Norway,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Poland,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Romania,11.2,11.8,11.6,11.7,11.5,11.6,11.7,11.6,11.3,11.5,11.4,11.3,-0.90%,0.10%,0.40%
Slovakia,16.7,14.1,14.6,15.4,15.5,15.7,15.5,15.1,14.8,15.1,14.8,15.5,4.30%,-1.20%,0.60%
