Thousand barrels daily,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,2300,2183,2333,2397,2330,2345,2387,2347,2393,2393,2443,2403,-1.70%,0.60%,2.40%
Mexico,2080,2021,2040,2065,2083,2034,1960,1939,1950,1883,1821,1733,-4.80%,-1.30%,1.80%
US,18841,18030,18324,17983,17594,18006,18136,18524,18618,18883,19428,19400,-0.10%,0.30%,19.70%
Total North America,23221,22235,22697,22445,22006,22385,22483,22810,22961,23160,23692,23536,-0.70%,0.20%,23.90%
Argentina,540,532,582,591,614,658,643,662,651,637,611,599,-2.00%,1.20%,0.60%
Brazil,2096,2078,2271,2432,2509,2655,2721,2559,2436,2481,2377,2398,0.90%,1.30%,2.40%
Chile,390,383,343,371,376,362,353,355,377,364,374,381,1.90%,-0.40%,0.40%
Colombia,248,230,256,274,294,297,315,331,343,338,341,347,1.70%,3.20%,0.40%
Ecuador,188,191,220,226,233,247,260,254,239,237,255,249,-2.40%,3.10%,0.30%
Peru,173,178,186,215,207,219,216,237,250,248,257,262,1.90%,4.00%,0.30%
Trinidad & Tobago,45,44,45,42,40,45,41,45,47,44,42,39,-6.90%,-0.80%,?
Venezuela,716,726,725,737,792,782,720,637,537,463,402,356,-11.60%,-5.60%,0.40%
Central America,343,342,347,366,369,372,386,419,434,443,444,459,3.50%,2.60%,0.50%
Other Caribbean,688,646,634,631,617,595,582,603,620,612,629,615,-2.30%,-0.90%,0.60%
Other South America,159,170,181,176,182,185,182,194,201,213,215,220,2.20%,3.10%,0.20%
Total S. & Cent. America,5586,5519,5791,6061,6234,6418,6420,6298,6136,6078,5946,5923,-0.40%,0.60%,6.00%
Austria,262,250,262,245,245,253,243,242,250,254,258,263,2.00%,-0.20%,0.30%
Belgium,726,668,691,649,631,651,649,669,674,685,702,683,-2.70%,-0.30%,0.70%
Bulgaria,106,97,86,82,85,79,84,95,95,99,99,104,5.20%,-0.70%,0.10%
Croatia,91,89,76,72,65,63,65,68,68,73,71,68,-3.30%,-2.50%,0.10%
Cyprus,58,57,55,55,51,46,45,46,51,52,52,52,-0.20%,-1.10%,0.10%
Czech Republic,206,199,189,194,191,183,194,189,175,209,212,213,0.80%,0.30%,0.20%
Denmark,186,169,170,165,153,152,153,155,153,154,155,159,2.50%,-1.80%,0.20%
Estonia,30,27,28,27,32,31,29,29,29,30,30,31,3.60%,0.10%,?
Finland,222,209,219,209,200,215,204,202,217,207,207,193,-6.80%,-0.70%,0.20%
France,1832,1762,1703,1666,1610,1597,1543,1545,1529,1539,1538,1530,-0.50%,-1.70%,1.60%
Germany,2434,2339,2373,2294,2276,2336,2273,2269,2307,2374,2260,2281,0.90%,-0.70%,2.30%
Greece,439,417,380,359,318,300,298,309,311,320,316,328,3.90%,-3.20%,0.30%
Hungary,159,149,141,151,139,139,154,164,161,173,184,186,0.70%,1.50%,0.20%
Iceland,16,15,15,14,14,15,16,17,19,21,22,19,-12.70%,3.10%,?
Ireland,186,164,156,145,137,139,138,144,150,149,155,156,0.30%,-1.80%,0.20%
Italy,1645,1536,1500,1443,1350,1246,1180,1227,1236,1249,1277,1218,-4.60%,-2.50%,1.20%
Latvia,35,32,36,33,33,33,34,35,36,37,35,38,9.00%,-0.10%,?
Lithuania,61,52,54,52,53,52,51,55,60,62,66,66,0.10%,0.70%,0.10%
Luxembourg,60,56,59,60,58,57,55,54,54,57,60,61,1.70%,?,0.10%
Netherlands,972,935,957,962,916,889,856,826,843,818,844,825,-2.20%,-1.40%,0.80%
North Macedonia,19,20,19,20,19,19,19,20,22,21,21,22,8.10%,0.90%,?
Norway,216,220,231,224,221,226,214,219,210,211,222,207,-7.10%,0.30%,0.20%
Poland,555,550,577,574,552,520,521,542,594,646,663,670,1.20%,1.80%,0.70%
Portugal,290,269,265,249,225,235,235,238,234,243,233,250,7.10%,-2.10%,0.30%
Romania,214,192,181,186,186,170,184,186,195,206,212,224,5.60%,-0.10%,0.20%
Slovakia,80,76,79,76,72,72,67,73,76,86,87,83,-4.50%,0.80%,0.10%
Slovenia,63,54,54,54,53,50,49,49,52,53,55,51,-6.10%,-1.40%,0.10%
Spain,1544,1449,1413,1343,1251,1181,1176,1219,1262,1270,1297,1298,0.10%,-1.70%,1.30%
Sweden,331,317,315,295,292,292,286,280,291,289,276,283,2.70%,-1.80%,0.30%
Switzerland,255,260,242,234,238,249,224,226,214,219,212,216,2.20%,-1.90%,0.20%
Turkey,685,709,694,672,702,748,771,915,973,1022,987,1005,1.80%,3.70%,1.00%
Ukraine,299,282,267,278,267,256,219,193,204,208,207,222,7.30%,-3.60%,0.20%
United Kingdom,1704,1627,1604,1573,1522,1505,1506,1552,1597,1610,1584,1545,-2.50%,-0.70%,1.60%
Other Europe ,314,315,319,320,300,298,297,307,327,343,342,346,1.30%,0.90%,0.40%
Total Europe ,16297,15561,15409,14976,14458,14296,14032,14360,14669,14991,14936,14896,-0.30%,-0.90%,15.20%
Azerbaijan,74,73,72,89,92,101,99,100,98,99,104,108,4.10%,3.40%,0.10%
Belarus,160,181,149,172,210,143,163,139,136,136,147,151,2.70%,-0.80%,0.20%
Kazakhstan,238,200,211,243,245,260,262,295,305,317,340,353,3.80%,3.60%,0.40%
Russian Federation,2861,2775,2878,3074,3119,3134,3298,3143,3219,3195,3282,3317,1.10%,1.40%,3.40%
Turkmenistan,114,106,118,125,129,137,143,145,143,144,149,162,8.70%,2.70%,0.20%
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,93,89,76,71,63,60,57,53,49,47,45,44,-3.30%,-6.90%,?
Other CIS,60,64,63,65,75,78,76,78,86,82,91,93,2.00%,4.10%,0.10%
Total CIS,3600,3487,3566,3838,3934,3914,4097,3952,4036,4021,4157,4227,1.70%,1.50%,4.30%
Iran,1927,1920,1788,1823,1859,2020,1901,1713,1764,1808,1835,2018,10.00%,-0.50%,2.10%
Iraq,481,536,570,629,666,716,681,683,760,724,705,716,1.70%,3.90%,0.70%
Israel,254,232,241,254,295,223,214,226,230,255,250,254,1.70%,-0.20%,0.30%
Kuwait,406,455,478,453,499,517,455,471,482,440,434,427,-1.70%,0.70%,0.40%
Oman,123,119,135,146,157,178,185,184,187,243,284,295,4.00%,8.80%,0.30%
Qatar,178,173,191,246,257,287,294,332,347,312,325,346,6.60%,6.20%,0.40%
Saudi Arabia,2622,2914,3206,3295,3460,3451,3764,3883,3875,3838,3769,3788,0.50%,3.70%,3.90%
United Arab Emirates,603,606,654,735,773,852,880,957,1028,1012,1057,1042,-1.40%,5.80%,1.10%
Other Middle East,798,776,724,712,676,624,619,537,516,524,515,529,2.60%,-4.30%,0.50%
Total Middle East,7391,7730,7987,8293,8642,8868,8993,8987,9191,9156,9174,9416,2.60%,2.20%,9.60%
Algeria,309,327,327,349,370,387,401,425,412,407,417,454,8.80%,3.10%,0.50%
Egypt,686,725,766,720,747,756,806,834,857,804,757,743,-1.80%,1.00%,0.80%
Morocco,231,234,258,275,277,282,272,268,275,290,286,294,2.80%,2.20%,0.30%
South Africa,511,507,538,542,552,561,555,578,546,546,557,569,2.30%,0.90%,0.60%
Eastern Africa,385,404,420,443,450,484,501,548,570,606,626,645,2.90%,5.00%,0.70%
Middle Africa,162,182,198,217,228,254,273,266,255,232,235,240,2.40%,3.80%,0.20%
Western Africa,504,511,543,547,572,587,552,564,627,689,727,756,4.00%,3.70%,0.80%
Other Northern Africa,363,387,391,262,330,347,357,318,292,303,318,332,4.30%,-1.30%,0.30%
Other Southern Africa,45,46,47,49,50,54,55,58,59,61,62,63,0.70%,3.30%,0.10%
Total Africa,3196,3322,3489,3405,3575,3712,3773,3859,3894,3938,3986,4096,2.80%,2.20%,4.20%
Australia,921,916,907,959,991,1012,1021,985,992,1034,1054,1046,-0.80%,1.40%,1.10%
Bangladesh,77,72,81,104,110,108,120,127,138,156,178,171,-4.00%,8.70%,0.20%
China,7904,8240,9390,9739,10170,10668,11134,11911,12248,12842,13375,14056,5.10%,5.40%,14.30%
China Hong Kong SAR,292,332,359,360,344,352,336,367,380,428,435,408,-6.00%,4.10%,0.40%
India,3132,3298,3378,3542,3740,3781,3906,4230,4632,4860,5112,5271,3.10%,5.00%,5.40%
Indonesia,1286,1317,1411,1589,1639,1662,1680,1558,1572,1660,1724,1732,0.50%,3.00%,1.80%
Japan,4846,4389,4434,4435,4694,4508,4292,4138,4006,3971,3855,3812,-1.10%,-2.30%,3.90%
Malaysia,672,678,688,724,757,802,802,751,839,803,813,829,2.10%,1.90%,0.80%
New Zealand,156,150,150,154,151,153,156,163,166,174,175,176,0.50%,1.20%,0.20%
Pakistan,389,415,411,414,402,442,458,505,566,589,498,446,-10.50%,2.50%,0.50%
Philippines,282,294,307,292,301,316,336,384,413,445,450,458,1.90%,4.80%,0.50%
Singapore,973,1049,1157,1208,1202,1217,1259,1328,1372,1405,1431,1404,-1.80%,3.90%,1.40%
South Korea,2308,2339,2370,2394,2458,2455,2454,2577,2771,2801,2781,2760,-0.80%,1.90%,2.80%
Sri Lanka,83,87,87,92,95,82,71,90,105,114,114,123,7.50%,3.30%,0.10%
