Thousand barrels daily,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,3341,3331,3457,3637,3860,4128,4418,4572,4655,5037,5501,5651,2.70%,5.10%,5.90%
Mexico,3165,2978,2959,2940,2911,2875,2784,2587,2456,2224,2068,1918,-7.30%,-4.20%,2.00%
US,6783,7267,7558,7883,8926,10099,11801,12781,12349,13135,15360,17045,11.00%,8.50%,17.90%
Total North America,13290,13576,13975,14460,15697,17101,19004,19940,19460,20396,22929,24614,7.30%,5.60%,25.90%
Argentina,802,730,712,667,657,644,638,646,610,590,591,620,4.90%,-3.00%,0.70%
Brazil,1887,2019,2125,2173,2132,2096,2341,2525,2591,2721,2679,2877,7.40%,3.60%,3.00%
Colombia,588,671,786,915,944,1010,990,1006,886,854,865,886,2.40%,3.90%,0.90%
Ecuador,507,488,488,501,505,527,557,543,548,531,517,531,2.70%,0.20%,0.60%
Peru,122,155,165,159,157,171,175,153,141,137,154,142,-7.20%,2.30%,0.10%
Trinidad & Tobago,149,150,145,136,117,116,114,109,97,99,87,82,-5.80%,-5.20%,0.10%
Venezuela,3228,3038,2842,2755,2704,2680,2692,2631,2347,2096,1475,918,-37.70%,-7.50%,1.00%
Other S. & Cent. America,143,136,144,144,147,152,155,146,135,133,127,118,-7.10%,-1.20%,0.10%
Total S. & Cent. America,7426,7387,7407,7450,7362,7397,7662,7758,7355,7161,6495,6174,-4.90%,-1.30%,6.50%
Denmark,287,265,249,225,204,178,167,158,142,138,116,103,-11.20%,-8.70%,0.10%
Italy,108,95,106,110,112,114,120,113,78,86,97,89,-8.70%,-1.10%,0.10%
Norway,2458,2343,2133,2033,1911,1832,1881,1940,1991,1965,1845,1731,-6.20%,-2.80%,1.80%
Romania,99,94,90,89,83,86,84,83,79,76,75,75,0.30%,-2.80%,0.10%
United Kingdom,1554,1474,1358,1114,947,865,854,964,1015,1005,1092,1118,2.40%,-3.50%,1.20%
Other Europe,377,357,342,336,336,344,339,331,313,303,308,298,-3.10%,-2.00%,0.30%
Total Europe,4884,4627,4277,3906,3593,3420,3444,3590,3618,3573,3532,3413,-3.40%,-3.20%,3.60%
Azerbaijan,916,1027,1037,932,882,888,861,851,838,793,796,779,-2.10%,-1.40%,0.80%
Kazakhstan,1485,1609,1676,1684,1664,1737,1710,1695,1655,1838,1927,1931,0.20%,2.60%,2.00%
Russian Federation,9965,10152,10379,10533,10656,10807,10860,11007,11269,11255,11438,11540,0.90%,1.40%,12.10%
Turkmenistan,215,221,226,234,244,256,263,271,270,271,261,264,1.10%,1.90%,0.30%
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,102,95,78,77,68,63,61,59,58,61,64,62,-3.20%,-4.50%,0.10%
Other CIS,37,36,36,36,35,35,35,36,36,37,38,39,2.90%,0.30%,?
Total CIS,12719,13141,13431,13496,13549,13786,13790,13918,14126,14255,14524,14614,0.60%,1.30%,15.40%
