Exajoules (input-equivalent),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,^,^,^,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.04,11.50%,59.10%,0.60%
Mexico,^,^,^,^,^,^,^,^,^,0.01,0.03,0.11,289.70%,65.90%,1.70%
US,0.02,0.02,0.03,0.04,0.08,0.15,0.27,0.36,0.5,0.7,0.84,0.97,14.50%,49.10%,15.00%
Total North America,0.02,0.02,0.03,0.05,0.09,0.16,0.29,0.39,0.53,0.75,0.91,1.12,23.00%,49.70%,17.30%
Argentina,^,^,^,^,^,^,^,^,^,^,^,0.01,636.80%,92.80%,0.10%
Brazil,-,-,-,-,^,^,^,^,^,0.01,0.03,0.05,60.10%,?,0.80%
Chile,-,-,-,-,^,^,^,0.01,0.02,0.04,0.05,0.06,22.60%,?,0.90%
Colombia,-,-,-,-,-,-,-,-,-,-,^,^,921.80%,?,?
Ecuador,^,^,-,^,^,^,^,^,^,^,^,^,335.50%,105.50%,?
Peru,-,-,-,-,^,^,^,^,^,^,0.01,0.01,1.80%,?,0.10%
Trinidad & Tobago,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,3.50%,?
Venezuela,-,-,^,^,^,^,^,^,^,^,^,^,32.50%,?,?
Central America,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,2.70%,111.10%,0.30%
Other Caribbean,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,56.80%,54.50%,0.20%
Other South America,^,^,^,^,^,^,^,^,^,^,0.01,0.01,19.40%,105.30%,0.10%
Total S. & Cent. America,^,^,^,^,^,^,0.01,0.03,0.04,0.07,0.11,0.16,37.80%,95.70%,2.40%
Austria,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.30%,46.30%,0.20%
Belgium,^,^,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.80%,56.40%,0.50%
Bulgaria,-,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,35.80%,?,0.30%
Croatia,-,^,^,^,^,^,^,^,^,^,^,^,4.30%,?,?
Cyprus,^,^,^,^,^,^,^,^,^,^,^,^,12.00%,50.60%,?
Czech Republic,^,^,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-2.80%,67.20%,0.30%
Denmark,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.70%,79.20%,0.10%
Estonia,-,^,^,^,^,^,^,^,^,^,^,^,234.20%,?,?
Finland,^,^,^,^,^,^,^,^,^,^,^,^,96.70%,36.10%,?
France,^,^,0.01,0.02,0.04,0.04,0.05,0.07,0.07,0.08,0.09,0.1,13.30%,72.40%,1.60%
Germany,0.04,0.06,0.11,0.18,0.24,0.29,0.33,0.35,0.34,0.35,0.41,0.42,3.40%,25.60%,6.60%
Greece,^,^,^,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.04,4.10%,92.90%,0.50%
Hungary,^,^,^,^,^,^,^,^,^,^,0.01,0.01,122.40%,89.10%,0.20%
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Ireland,-,^,^,^,^,^,^,^,^,^,^,^,48.90%,?,?
Italy,^,0.01,0.02,0.1,0.17,0.2,0.2,0.21,0.2,0.22,0.2,0.22,7.00%,60.10%,3.40%
Latvia,-,-,-,^,^,^,^,^,^,^,^,-,-100.00%,?,?
