Exajoules (input-equivalent),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,0.04,0.06,0.08,0.1,0.1,0.1,0.12,0.25,0.28,0.28,0.3,0.3,2.60%,23.50%,2.40%
Mexico,^,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.09,0.1,0.12,0.16,34.00%,47.40%,1.20%
US,0.53,0.7,0.9,1.13,1.32,1.56,1.68,1.75,2.08,2.31,2.46,2.7,9.70%,16.60%,21.20%
Total North America,0.57,0.77,0.99,1.24,1.46,1.7,1.86,2.08,2.45,2.69,2.88,3.16,9.90%,17.60%,24.80%
Argentina,^,^,^,^,^,^,0.01,0.01,^,0.01,0.01,0.04,252.30%,41.30%,0.30%
Brazil,0.01,0.01,0.02,0.03,0.05,0.06,0.11,0.2,0.3,0.38,0.43,0.5,14.80%,44.10%,3.90%
Chile,^,^,^,^,^,0.01,0.01,0.02,0.02,0.03,0.03,0.05,47.20%,56.60%,0.40%
Colombia,^,^,^,^,^,^,^,^,^,^,^,^,7.00%,-0.30%,?
Ecuador,^,^,^,^,^,^,^,^,^,^,^,^,6.20%,39.60%,?
Peru,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,9.20%,102.80%,0.10%
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Venezuela,-,-,-,-,-,-,-,^,-,-,-,^,?,?,?
Central America,^,^,^,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.04,?,35.60%,0.30%
Other Caribbean,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,28.40%,25.30%,0.10%
Other South America,^,^,^,^,^,^,0.01,0.02,0.03,0.03,0.04,0.04,0.30%,80.30%,0.30%
Total S. & Cent. America,0.02,0.02,0.03,0.04,0.07,0.09,0.17,0.29,0.41,0.51,0.59,0.71,19.90%,43.50%,5.50%
Austria,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.05,0.07,22.80%,10.90%,0.50%
Belgium,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.08,27.20%,27.10%,0.70%
Bulgaria,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.20%,26.10%,0.10%
Croatia,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,7.40%,41.20%,0.10%
Cyprus,^,^,^,^,^,^,^,^,^,^,^,^,7.50%,89.10%,?
Czech Republic,^,^,^,^,^,^,^,0.01,^,0.01,0.01,0.01,14.50%,8.90%,?
Denmark,0.07,0.06,0.07,0.09,0.1,0.1,0.12,0.13,0.12,0.13,0.12,0.14,15.80%,6.60%,1.10%
Estonia,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,6.10%,16.20%,?
