Terawatt-hours,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,3.8,6.6,8.7,10.2,11.3,11.1,12.8,27,30.9,31.5,33.2,34.2,3.00%,24.20%,2.40%
Mexico,0.3,0.6,1.2,1.6,3.7,4.2,6.4,8.7,10.4,10.6,13.1,17.6,34.50%,48.30%,1.20%
US,55.9,74.6,95.6,121.4,142.2,169.5,183.5,192.6,229.3,256.9,275.4,303.1,10.10%,17.30%,21.20%
Total North America,60,81.9,105.6,133.2,157.2,184.9,202.7,228.4,270.6,299,321.7,354.9,10.30%,18.30%,24.80%
Argentina,^,^,^,^,0.4,0.5,0.6,0.6,0.5,0.6,1.4,5,253.60%,42.10%,0.30%
Brazil,1.2,1.2,2.2,2.7,5.1,6.6,12.2,21.6,33.5,42.4,48.5,55.8,15.20%,45.00%,3.90%
Chile,^,0.1,0.3,0.3,0.4,0.5,1.4,2.1,2.5,3.6,3.6,5.3,47.70%,57.50%,0.40%
Colombia,0.1,0.1,^,^,0.1,0.1,0.1,0.1,0.1,^,0.1,0.1,7.40%,0.30%,?
Ecuador,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.60%,40.50%,?
Peru,^,^,^,^,^,^,0.3,0.6,1.1,1.1,1.5,1.6,9.60%,104.10%,0.10%
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Venezuela,-,-,-,-,-,-,-,^,-,-,-,0.1,?,?,?
Central America,0.2,0.4,0.5,0.7,1.1,1.3,2.1,3.1,3.3,3.2,4.4,4.5,0.30%,36.50%,0.30%
Other Caribbean,0.1,0.2,0.3,0.4,0.7,1,1.1,1.1,1.2,1.3,1.4,1.8,28.80%,26.00%,0.10%
Other South America,^,^,0.1,0.1,0.1,0.2,0.7,2.1,3,3.8,4.8,4.8,0.70%,81.40%,0.30%
Total S. & Cent. America,1.7,2.1,3.4,4.3,7.8,10.2,18.6,31.5,45.2,56.1,65.8,79.2,20.40%,44.40%,5.50%
Austria,2,2,2.1,1.9,2.5,3.2,3.8,4.8,5.2,6.6,6,7.4,23.30%,11.60%,0.50%
Belgium,0.6,1,1.3,2.3,2.8,3.7,4.6,5.6,5.4,6.5,7.5,9.5,27.70%,27.90%,0.70%
Bulgaria,0.1,0.2,0.7,0.9,1.2,1.4,1.3,1.5,1.4,1.5,1.3,1.3,-0.80%,26.90%,0.10%
Croatia,^,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1,1.2,1.3,1.4,7.80%,42.00%,0.10%
